1	1	1.5	2.5	5
1	2	2.5	2.6	10.2
1	3	2.9	3.5	15.8
1	4	3.2	4	20
1	5	4	4.8	28
1	6	4.2	5.4	35
1	7	5.2	5.9	43
1	8	5.6	6.5	49
1	9	5.9	7	54
1	10	6.3	7.3	60
2	1	6.8	7.6	67.4
2	2	7	7.9	72.4
2	3	7.4	8	78
2	4	7.9	8.5	84
2	5	8.4	8.9	93
2	6	9	9.6	100
2	7	9.4	10	105
2	8	9.9	10.9	110.3
2	9	10.5	11.5	130
2	10	10.9	11.7	140.6
3	1	11.3	12.4	146.5
3	2	11.9	12.9	150.9
3	3	12	13.5	160.3
3	4	12.6	14	173.5
3	5	13.2	14.5	184
3	6	13.8	14.7	192
3	7	14.3	15	201
3	8	14.7	15.6	210
3	9	15.2	16	215
3	10	15.9	16.2	220.4
4	1	16.3	16.8	226.7
4	2	17	17.3	230
4	3	17.6	17.9	238
4	4	18	18.6	245
4	5	18.6	19	252.1
4	6	18.9	19.6	260.4
4	7	19.3	20.5	268.5
4	8	19.8	21.2	275.4
4	9	20	21.5	285.6
4	10	20.5	21.9	293
5	1	20.9	22.1	302.1
5	2	21.3	22.7	310.9
5	3	21.6	23	322.4
5	4	22	23.4	335.4
5	5	22.8	23.8	342.1
5	6	23	24.5	349.8
5	7	23.6	25	356.2
5	8	23.9	25.6	362.4
5	9	24	25.9	372
5	10	24.5	26.1	378
6	1	25	26.7	384
6	2	25.4	27	389
6	3	25.9	27.7	395
6	4	26.3	28.4	403
6	5	26.9	28.9	409
6	6	27.4	29.1	413
6	7	28	29.6	418
6	8	28.6	30.2	424
6	9	29	30.8	434
6	10	29.4	31.3	438
7	1	29.5	31.8	445
7	2	29.9	32.4	453
7	3	30.2	32.9	459
7	4	30.6	33	464
7	5	31	33.5	475
7	6	32	34	482
7	7	32.6	34.6	489
7	8	33.4	34.9	492
7	9	34	35.1	499
7	10	34.5	35.6	505
8	1	34.9	35.8	511
8	2	35.3	36.4	517
8	3	35.8	37	523
8	4	36.4	37.6	529
8	5	37	37.9	538
8	6	37.4	38.4	540
8	7	37.9	38.8	546
8	8	38.2	39.3	551
8	9	38.7	39.8	557
8	10	39.4	40.2	561
9	1	40	40.9	564
9	2	41	41.7	574
9	3	42.2	42.6	579
9	4	42.6	43	583
9	5	43.2	43.8	590
9	6	43.6	44.4	597
9	7	44	44.9	600
9	8	44.6	45.6	605
9	9	45	46	609
9	10	45.3	46.6	615
10	1	45.7	47.3	621
10	2	46.2	47.9	629
10	3	46.9	48.5	633
10	4	47.5	49	638
10	5	48	50	644
10	6	48.6	51.2	649
10	7	49	51.8	653
10	8	49.4	52.8	659
10	9	49.9	54	664
10	10	50	54.9	668
11	1	50.3	55.9	670
11	2	50.7	56.6	676
11	3	51	57.9	684
11	4	51.6	59	692
11	5	52	60.1	699
11	6	52.6	60.5	703
11	7	53	61.4	708
11	8	53.5	62.6	719
11	9	54.3	62.9	725
11	10	54.9	64	730
12	1	55	64.4	736
12	2	55.6	64.9	741
12	3	56	66	747
12	4	56.4	67.5	753
12	5	56.9	68.7	759
12	6	57	70	767
12	7	57.5	71.4	775
12	8	57.9	72.45	780
12	9	58	73.4	788
12	10	58.6	75.1	792
13	1	58.8	75.9	796
13	2	59	76.4	800
13	3	59.8	77.4	803
13	4	60.3	78.6	806
13	5	60.6	79.4	815
13	6	61	80.8	819
13	7	61.4	81.6	825
13	8	62	81.9	828
13	9	62.6	82	835
13	10	62.9	83	840
14	1	63	83.6	848
14	2	63.5	83.9	856
14	3	63.8	84.9	862
14	4	64	85.6	868
14	5	64.6	86.4	874
14	6	65.2	87.9	879
14	7	65.8	88.4	884
14	8	66.3	89.7	890
14	9	66.8	90.1	900
14	10	67	90.1	905
15	1	67.6	91	909
15	2	67.8	92.3	915
15	3	68.2	92.6	921
15	4	68.8	93.5	928
15	5	69.1	94.6	934
15	6	69.5	95.7	941
15	7	70	96.2	948
15	8	71.4	96.8	954
15	9	71.7	97.5	959
15	10	72	99	964
16	1	72.5	100	971
16	2	73	100.6	978
16	3	73.5	101.4	983
16	4	73.6	101.9	990
16	5	74.3	103	995
16	6	74.8	103.8	1003
16	7	75	104.7	1010
16	8	75.6	105	1018
16	9	75.9	105.8	1024
16	10	76	105.9	1029
17	1	76.3	106.4	1035
17	2	76.8	106.9	1040
17	3	77.2	108	1048
17	4	77.7	108.3	1056
17	5	78.1	108.8	1062
17	6	78.6	109.3	1068
17	7	78.9	110	1074
17	8	79.4	110.5	1081
17	9	79.8	111.1	1090
17	10	80.3	111.9	1105
18	1	80.9	112.6	1108
18	2	81.4	113	1116
18	3	81.8	113.9	1124
18	4	82.1	115	1129
18	5	83	115.6	1135
18	6	83.6	116.8	1140
18	7	83.8	117.4	1149
18	8	84.3	118	1155
18	9	84.9	119	1158
18	10	85.5	120.5	1165
19	1	86	121	1174
19	2	86.6	121.9	1183
19	3	87.4	122.4	1192
19	4	87.9	122.8	1204
19	5	88	123.4	1208
19	6	88.4	124.9	1214
19	7	88.8	125.5	1220
19	8	89.3	126	1228
19	9	90	127.3	1234
19	10	90.6	128.1	1239
20	1	91.1	128.8	1245
20	2	91.6	129.4	1254
20	3	92.3	130.2	1262
20	4	92.5	131	1268
20	5	93.1	132.4	1274
20	6	93.5	133.3	1282
20	7	93.9	134	1290
20	8	94.5	135.4	1295
20	9	94.9	136	1300
20	10	95.4	136.36	1315
